Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
1011,Apprentice or trainee – plumber,Male,"8,584","31,680",,,,
621,Apprentice or trainee – power generation plant operator,Female,7,"44,375",,,,
507,Apprentice or trainee – power generation plant operator,Male,89,"64,808",,,,
891,Apprentice or trainee – printer or graphic artist,Female,75,"32,519",,,,
913,Apprentice or trainee – printer or graphic artist,Male,315,"38,199",,,,
374,Apprentice or trainee – real estate representative,Female,939,"58,513",,,,
103,Apprentice or trainee – real estate representative,Male,963,"113,971",,,,
742,Apprentice or trainee – sales assistant (retail) ,Female,"3,995","38,809",,,,
651,Apprentice or trainee – sales assistant (retail) ,Male,"1,673","54,042",,,,
455,Apprentice or trainee – sales representative (wholesale),Female,508,"53,118",,,,
388,Apprentice or trainee – sales representative (wholesale),Male,723,"73,496",,,,
395,Apprentice or trainee – security and correctional services,Female,62,"57,531",,,,
624,Apprentice or trainee – security and correctional services,Male,131,"55,624",,,,
1086,Apprentice or trainee – shearer,Female,9,"19,671",,,,
1052,Apprentice or trainee – shearer,Male,43,"27,980",,,,
886,Apprentice or trainee – signwriter,Female,38,"32,736",,,,
1022,Apprentice or trainee – signwriter,Male,191,"30,528",,,,
1089,Apprentice or trainee – sport and recreation,Female,114,"17,983",,,,
1101,Apprentice or trainee – sport and recreation,Male,210,"19,586",,,,
1074,Apprentice or trainee – stablehand,Female,21,"21,810",,,,
1096,Apprentice or trainee – stablehand,Male,12,"22,520",,,,
1030,Apprentice or trainee – storeperson,Female,58,"25,475",,,,
1044,Apprentice or trainee – storeperson,Male,213,"28,950",,,,
856,Apprentice or trainee – telecommunications technical specialist,Female,17,"33,653",,,,
875,Apprentice or trainee – telecommunications technical specialist,Male,190,"41,212",,,,
946,Apprentice or trainee – telecommunications tradesperson,Female,11,"30,132",,,,
927,Apprentice or trainee – telecommunications tradesperson,Male,181,"37,543",,,,
1087,Apprentice or trainee – tiler,Female,7,"19,542",,,,
1082,Apprentice or trainee – tiler,Male,762,"24,995",,,,
859,Apprentice or trainee – tourism and travel adviser,Female,127,"33,620",,,,
1005,Apprentice or trainee – tourism and travel adviser,Male,44,"32,018",,,,
688,Apprentice or trainee – transport and distribution driver,Female,24,"41,380",,,,
742,Apprentice or trainee – transport and distribution driver,Male,95,"48,629",,,,
936,Apprentice or trainee – upholsterer,Female,10,"30,746",,,,
1058,Apprentice or trainee – upholsterer,Male,55,"27,482",,,,
966,Apprentice or trainee – veterinary nurse,Female,392,"29,161",,,,
1034,Apprentice or trainee – veterinary nurse,Male,17,"29,622",,,,
943,Apprentice or trainee – watch and clock maker,Male,15,"36,213",,,,
1033,Apprentice or trainee – wood tradesperson,Female,18,"25,274",,,,
1047,Apprentice or trainee – wood tradesperson,Male,577,"28,636",,,,
904,Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer,Female,219,"32,020",,,,
706,Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer,Male,"1,433","50,540",,,,
1055,Aquaculture worker,Female,500,"23,886",,,,
